,row,col,type,id,bool1,X1,Y1,X2,Y2,bool2,XG,YG,Lng,Ang,typeH,proche route,proche canal,perp route,perp canal,paral route,paral canal
3184,7,6,H,6541,1.0,311567.595683,2396003.251074,311593.720259,2395983.506658,1.0,311580.657971,2395993.378866,32.746533,2.217986,HO,1,1,1,1,0,0
3380,7,8,H,7164,1.0,313712.655781,2396491.545155,313686.992645,2396493.836483,1.0,313699.824213,2396492.690819,25.765223,1.659845,HV,0,1,0,1,0,0
3490,8,1,H,5553,1.0,306817.530655,2395104.495841,306833.219359,2395127.253217,1.0,306825.375007,2395115.874529,27.641158,0.60357,HO,0,1,0,1,0,0
3492,8,1,H,5558,1.0,306909.296575,2394968.714497,306930.705695,2394949.609921,1.0,306920.001135,2394959.162209,28.693819,2.299373,HO,1,1,1,1,0,0
3512,8,1,H,5901,1.0,306686.219679,2395446.248834,306699.317759,2395441.13597,1.0,306692.768719,2395443.692402,14.060622,1.942958,HO,1,1,0,1,1,0
3517,8,1,H,13706,1.0,306601.627327,2395333.56941,306664.070175,2395329.572418,1.0,306632.848751,2395331.570914,62.570642,1.63472,HV,0,1,0,1,0,0
3546,8,1,H,14695,1.0,306616.232991,2395209.649857,306639.595743,2395209.998817,1.0,306627.914367,2395209.824337,23.365358,1.555861,HV,1,1,1,1,0,0
3693,8,3,H,5078,1.0,308762.533505,2394801.457473,308766.560897,2394763.503009,1.0,308764.547201,2394782.480241,38.167541,3.035877,HP,1,1,1,1,0,0
3700,8,3,H,5153,1.0,308221.895904,2394829.515041,308203.78336,2394843.252161,1.0,308212.839632,2394836.383601,22.732635,2.219672,HO,0,1,0,1,0,0
3709,8,3,H,5329,1.0,308902.312417,2394960.495713,308912.292929,2394952.692417,1.0,308907.302673,2394956.594065,12.66894,2.234374,HO,1,1,0,1,1,0
3710,8,3,H,5330,1.0,308884.781473,2394981.244065,308917.439489,2394964.369761,1.0,308901.110481,2394972.806913,36.759871,2.047712,HO,1,1,0,1,1,0
3796,8,3,H,13848,1.0,308727.373632,2394905.495201,308735.387233,2394941.676577,1.0,308731.380433,2394923.585889,37.058194,0.217965,HP,0,1,0,1,0,0
3817,8,4,H,5259,1.0,309407.096225,2394929.417889,309426.467041,2394912.000577,1.0,309416.781633,2394920.709233,26.049784,2.303143,HO,0,1,0,1,0,0
3919,8,5,H,5300,1.0,310866.781538,2394969.149473,310880.122819,2394956.720161,1.0,310873.452179,2394962.934817,18.233968,2.320821,HO,1,1,0,1,1,0
3939,8,5,H,5767,1.0,310376.782946,2395312.99869,310367.282306,2395334.751618,1.0,310372.032626,2395323.875154,23.737145,2.72981,HO,1,1,0,1,1,0
3946,8,5,H,13893,1.0,310544.504834,2395597.065442,310538.43901,2395571.755938,1.0,310541.471922,2395584.41069,26.026241,0.235229,HP,0,1,0,1,0,0
3954,8,6,H,5290,1.0,310907.125379,2394936.750017,310922.030083,2394920.497697,1.0,310914.577731,2394928.623857,22.051941,2.39942,HO,1,1,0,1,1,0
3958,8,6,H,5324,1.0,310927.184355,2394940.635105,310923.727267,2394944.220161,1.0,310925.455811,2394942.427633,4.98037,2.374364,HO,1,1,0,1,1,0
4004,8,7,H,5449,1.0,312842.428292,2395052.667553,312872.187684,2395043.750785,1.0,312857.307988,2395048.209169,31.066544,1.861912,HV,0,1,0,1,0,0
4027,8,7,H,6078,1.0,312211.717348,2395566.750818,312219.49978,2395550.003714,1.0,312215.608564,2395558.377266,18.467045,2.706579,HO,1,1,1,1,0,0
4029,8,7,H,6080,1.0,312220.751044,2395529.502786,312233.716964,2395524.250274,1.0,312227.234004,2395526.87653,13.989423,1.955693,HO,1,1,0,1,1,0
4030,8,7,H,6081,1.0,312233.716964,2395524.250274,312249.391716,2395521.679906,1.0,312241.55434,2395522.96509,15.8841,1.733331,HV,1,1,0,1,1,0
4084,8,8,H,5563,1.0,312971.402724,2395149.960033,312975.187172,2395117.504705,1.0,312973.294948,2395133.732369,32.675226,3.025512,HP,1,1,0,1,1,0
