Landscape,row,col,type,id,bool1,X1,Y1,X2,Y2,bool2,XG,YG,Lng,Ang,typeH
B,"3",,H,"9729","1",310736.429218,2399790.438982,310836.561474,2399772.750886,"1",310786.495346,2399781.594934,101.682533,1.74564,HV
B,"3",,H,"9730","0",310836.561474,2399772.750886,310924.656291,2399756.25095,"1",310880.608882,2399764.500918,89.626696,1.755949,HV
B,"3",,H,"9781","1",310180.541122,2399957.210662,310188.789954,2399941.97319,"1",310184.665538,2399949.591926,17.326967,2.645413,HO
B,"3",,H,"9782","1",310188.789954,2399941.97319,310188.789954,2399920.46247,"1",310188.789954,2399931.21783,21.51072,0,HP
B,"3",,H,"9783","1",310188.789954,2399920.46247,310188.789954,2399908.061222,"1",310188.789954,2399914.261846,12.401248,0,HP
B,"3",,H,"9784","1",310188.789954,2399908.061222,310184.065698,2399878.770662,"1",310186.427826,2399893.415942,29.6691,0.159912,HP
B,"3",,H,"9785","1",310184.065698,2399878.770662,310181.899106,2399865.350118,"1",310182.982402,2399872.06039,13.594305,0.160058,HP
B,"3",,H,"9786","1",310181.899106,2399865.350118,310180.822402,2399860.776774,"1",310181.360754,2399863.063446,4.698379,0.23122,HP
B,"3",,H,"9787","1",310180.822402,2399860.776774,310178.020738,2399848.824326,"1",310179.42157,2399854.80055,12.276414,0.230244,HP
B,"3",,H,"9788","1",310178.020738,2399848.824326,310164.272546,2399790.171334,"1",310171.146642,2399819.49783,60.242728,0.230242,HP
B,"3",,H,"9789","1",310164.272546,2399790.171334,310163.126242,2399789.706438,"1",310163.699394,2399789.938886,1.236989,1.185505,HO
B,"3",,H,"9792","1",310735.505858,2399790.400422,310734.716066,2399790.748934,"1",310735.110962,2399790.574678,0.863268,1.986367,HO
B,"3",,H,"9793","1",310734.716066,2399790.748934,310708.592354,2399805.75031,"1",310721.65421,2399798.249622,30.124568,2.092062,HO
B,"3",,H,"9794","1",310708.592354,2399805.75031,310700.471202,2399857.426022,"1",310704.531778,2399831.588166,52.309964,2.985712,HP
B,"3",,H,"9795","1",310700.471202,2399857.426022,310696.217762,2399884.49607,"1",310698.344482,2399870.961046,27.402176,2.98574,HP
B,"3",,H,"9796","1",310696.217762,2399884.49607,310689.484642,2399934.430662,"1",310692.851202,2399909.463366,50.38649,3.007562,HP
B,"3",,H,"9797","1",310689.484642,2399934.430662,310685.09405,2399966.993638,"1",310687.289346,2399950.71215,32.857643,3.007567,HP
B,"3",,H,"9798","1",310685.09405,2399966.993638,310685.21773,2399996.00615,"1",310685.15589,2399981.499894,29.012776,0.004263,HP
B,"3",,H,"9861","1",310668.594338,2400110.252838,310672.719298,2400049.753926,"1",310670.656818,2400080.003382,60.639374,3.073516,HP
B,"3",,H,"9862","1",310672.719298,2400049.753926,310674.781666,2400004.250054,"1",310673.750482,2400027.00199,45.550584,3.096301,HP
B,"3",,H,"9863","1",310674.781666,2400004.250054,310676.844162,2399958.743782,"1",310675.812914,2399981.496918,45.552988,3.0963,HP
B,"3",,H,"9864","1",310676.844162,2399958.743782,310691.968962,2399842.998342,"1",310684.406562,2399900.871062,116.729458,3.011656,HP
B,"3",,H,"9865","1",310691.968962,2399842.998342,310694.717634,2399822.458406,"1",310693.343298,2399832.728374,20.723035,3.008562,HP
B,"3",,H,"9866","1",310694.717634,2399822.458406,310696.217538,2399811.250246,"1",310695.467586,2399816.854326,11.308075,3.008561,HP
B,"3",,H,"9867","1",310696.217538,2399811.250246,310696.217538,2399800.250406,"1",310696.217538,2399805.750326,10.99984,0,HP
B,"3",,H,"9868","1",310696.217538,2399800.250406,310705.84237,2399792.000582,"1",310701.029954,2399796.125494,12.676632,2.279421,HO
B,"3",,H,"9869","1",310705.84237,2399792.000582,310720.965954,2399785.273638,"1",310713.404162,2399788.63711,16.552177,1.989316,HO
